#{"t_start": 1665779066.952291, "env_id": "CustomMyoChallengeBaodingP1-v1"}
r,l,t
8805.196043,200,15.189411081091.108138,200,43.98693850.1126.388347,200,57.7111111030.719183,200,102.102494.10880.629011,200,117.1015.930.1121.262607,200,146765895.699687,200,176.753433611105.763607,200,204.04201081387.88253,168,219.636355101076.139907,200,263.761292911005.820826,200,276.73811105965.257218,200,306.0727840.1110.938756,200,320.125247.649297,200,321.455843
337.371649,200,364.19727331086.128119,200,379.572259
1121.056967,200,406.553669
1106.119514,200,439.11874
1025.778733,200,466.246263
1030.923174,200,480.955031
155.273684,1055.809402,201041.131554,21111.271173,200980.688616,201090.907303,201025.921966,201136.208179,200,10915.499169930.648152,200,111091.022841070.91025,200,611075.883101096.239305,200,671131.26224154.962069,103,610501050.83154.043032,102,68960.4757551106.079183,200,71131.2756071015.658922,200,74121115.952043,200,747.006881
840.244941,200,790.847305
549.574970.694633,200,806.71060.931090.883799,200,833.21095.868377,200,866.3472933.1065.924439,200,879.525759
1055.74448,200,907.260649
1050.681186,200,953.510266
1161.215065,200,966.461459
1066.175067,200,994.001829
1085.884849,200,1011.284593
1070.919576,200,1012.759642
101.963069,107,1043.831101
1061.049398,200,1056.292637
1060.745555,200,1083.552679
667.00147,131,1115.847477
1040.995883,200,1143.078828
1146.301138,200,1156.881376
140.1121.057414,200,1172.087057
1095.972605,200,1218.454243
1151.177994,200,1243.20577
171.968992,50,1243.61121.041061.085796,200,1273.31076.101106.213367,200,13051105.76791091.036235,200,13301106.18711061.018044,200,13451146.142936,200,1362.583136
1151.184202,200,1364.060543
107.854475,113,1395.040773
965.638155,200,1407.529309
1151.184179,200,1435.691546
1121.252103,200,1469.101767
584.034835,150,1482.247922
1121.081063,200,1507.03998
1116.240278,200,1540.653351
1051.084886,200,1566.562289
1116.279783,200,1594.726699
1146.399847,200,1610.087013
905.505721,200,1652.524212
1035.915247,200,1665.120849
738.76702,180,1695.3483
1026.041077,200,1697.279252
1136.244633,200,1698.887993
900.72338,200,1740.285478
400.273351,94,1740.906352
1096.188673,200,1769.329894
1106.141115,200,1816.679393
169.302265,47,1817.04329
1111.085408,200,1840.514335
1121.196622,200,1856.337959
1141.347344,200,1903.981994
1136.251477,200,1913.572726
1151.175927,200,1941.498596
1101.01052,200,1974.406222
1126.028035,200,1999.763997
990.786483,200,2011.983806
1161.530487,200,2042.812175
1106.263045,200,2044.294734
383.20623,200,2078.005552
162.296081,45,2087.136127
1106.128339,200,2099.284091
1111.369785,200,2146.387569
1101.298312,200,2162.489223
832.817318,163,2183.65308
1146.266745,200,2199.592808
1065.956097,200,2242.987082
732.24833,189,2255.042192
1146.483847,200,2284.286052
686.636639,152,2317.569113
117.943252,62,2318.083489
374.054778,140,2330.113923
1121.168821,200,2354.717103
1156.44183,200,2371.190144
1136.2332,200,2372.67278
70.214542,72,2404.558667
160.434489,75,2405.1647173.1096.229102,200,2428.2311056.821.514905,172,2443.4581075.1141.272332,200,2491.3481086.1121.367799,200,2503.5621111.205706,200,2990.89353,20950.575304,200,1046.067161,21141.329075,200,1126.368908,21161.374558,200,1141.377316,21146.083388,200,2615.395424
1121.178723,200,2662.994729
1156.116922,200,2675.438725
1095.981335,200,2701.762653
1116.118008,200,2718.927217
1156.395268,200,2720.415994
323.220125,200,2752.861372
1056.103002,200,2775.361009
1056.115355,200,2791.18302
1061.014178,200,2838.112725
1146.095973,200,2861.330301
1151.526747,200,2877.571609
1121.122083,200,2921.954294
193.517305,67,2922.466055
1136.223245,200,2949.045813
1006.021719,200,2965.100205
1121.284452,200,3008.416483
1146.176366,200,3021.709647
1156.327422,200,3051.855314
1161.462174,200,3053.757868
1141.283893,200,3055.224077
82.662922,85,3084.93418.71131.084245,200,3109.772258
1141.402003,200,3125.823853
925.760609,200,3170.417471
1096.270709,200,3184.433098
1000.922363,200,3211.301979
458.855319,146,3226.1101.0911126.373614,200,3257.1125.9911131.234773,200,3283.1126.2781156.153595,200,3313.759.99541131.169852,200,33441156.33061161.444553,200,33701070.7781156.23492,200,3386.21050.851156.439776,200,3402.735583
1161.485001,200,3404.3495391152.64476,51,3421.158154
1156.512851,200,3447.252299
827.283974,162,3460.182215
800.219194,200,3490.096299
1141.484236,200,3520.434746
1121.051478,200,3547.036695
1151.257546,200,3563.34865211111.113864,200,3607.673151111030.937415,200,3622.451243111151.336426,200,3650.0752152.1085.972154,200,3692.711156.41141.357907,200,3706.241156.3985.876344,200,3736.5141156.1161.524704,200,3738.7641166.1161.406197,200,3740.242601
68.057696,57,3768.2300176.1161.166921,200,3781.661975.81056.102744,200,3810.45870.461151.195386,200,3841.51095.998226,200,3856.947134
1156.344728,200,3882.727082
475.41161.317793,200,3896.61020.891176.355668,200,3940.11161.381000.555848,200,3955.1578.8111151.281561,200,3982.869.8891061.07431,200,4015.31091.291060.784208,200,4041.61121.160897,200,4055.269915
1151.184093,200,4071.009671
1161.297033,200,4088.805717
1056.069095,200,4090.339157
347.622756,200,4118.162626
965.668399,200,4143.276032
1101.12623,200,4173.189008
1166.422468,200,4202.593284
1030.941054,200,4229.043362
1161.312592,200,4245.027927
1136.309481,200,4288.665949
1151.406136,200,4304.090266
702.613904,163,4331.380872
852.571288,188,4361.326666
1131.011515,200,4389.897609
1171.331392,200,4403.739263
111146.420296,200,4421.592583111166.403126,200,4423.070197262.66544,197,4463.832741
1156.38715,200,4490.866835
761.986159,141,4506.448168
1105.886451,200,4536.366313
1110.832118,200,4562.749496
1166.404995,200,4579.310866
1161.23536,200,4623.177816
1171.213399,200,4638.031309
1171.401566,200,4665.37965
514.827961,109,4681.108505
1121.50416,200,4709.994894
1166.504496,200,4736.693998
1171.500117,200,4766.837076
1092.1166.259017,200,4767.6001176.1126.164406,200,4769.0741166.396.808672,200,4797.6771161.1156.15365,200,4822.6107190.1171.363455,200,4852.331136.21171.403274,200,4883.151100.71151.284972,200,4909.46764.651181.574276,200,4925.1161.2761171.441899,200,4969.1146.4491171.421462,200,4984.1025.8561171.379843,200,5012.1136.289185.34407,48,5012.51090.721161.561442,200,5056.475.57436,148,5072.146771
1156.505045,200,5099.767255
726.31181.483697,200,5103.011156.41181.552904,200,5104.4138.534177.228319,186,5146.1075.9211141.44181,200,5160.21050.92960.780111,200,5190.351116.11121.483926,200,5232.541136.41151.131891,200,5247.111156.31161.357291,200,5276.601166.1126.398648,200,5307.2771161.1101.414958,200,5333.276561.71166.284973,200,5349.711071.8570.083713,151,5393.622182
1121.303936,200,5406.416788
512.023541,117,5421.01146.361111.327023,200,5449.91181.531181.52852,200,5451.581176.61176.694497,200,5452.93227.271363,191,5481.477323
1176.463628,200,5507.565404
1181.456375,200,5536.299576
1081.343468,200,5567.041072
1176.543214,200,5593.850529
1076.204806,200,5610.006157
1151.152919,200,5652.917369
1121.118897,200,5666.52123
1151.494716,200,5695.873029
1181.362581,200,5739.864705
1050.717373,200,5753.085841
1181.735569,200,5781.349506
1181.540393,200,5797.054656
1181.488735,200,5798.532259
393.113003,200,5829.111438
1166.299739,200,5855.822004
1135.746238,200,5869.668018
1171.217591,200,5912.439961
1181.414295,200,5929.005703
1171.300165,200,5956.130004
879.335751,175,5987.778673
1045.796076,200,6015.665583
525.024209,130,6032.021343
965.810002,200,6061.456914
1116.221132,200,6088.652991
895.615288,200,6118.558753
470.743966,152,6131.99193
1176.435427,200,6133.610646
1141.190853,200,6134.944652
403.079832,200,6174.486247
178.316373,46,6174.876257
1146.299584,200,6205.912714
1131.142273,200,6235.205469
1056.137299,200,6262.08965
1121.490163,200,6277.872923
1055.75226,200,6305.075567
1181.167794,200,6336.042433
1181.369074,200,6363.568062
1096.406474,200,6379.26794
1116.049712,200,6422.805613
1166.451207,200,6450.301564
1181.289357,200,6466.425626
1181.545823,200,6479.165436
609.285807,155,6480.219203
78.960013,79,6497.711307
1161.370432,200,6523.734244
1186.507204,200,6539.365165
1151.411578,200,6582.92467
1181.468907,200,6596.037927
1146.483843,200,6625.770164
1146.465609,200,6669.597225
1171.270824,200,6683.12899
1161.398942,200,6712.697919
945.602388,200,6741.660579
1156.21176,200,6767.902846
1145.990028,200,6783.558534
1042.395128,198,6809.777312
1176.294816,200,6811.254994
1146.348974,200,6812.725612
185.354931,188,6856.14594
1076.01732,200,6871.790436
1166.304999,200,6898.367734
1156.323203,200,6928.983202
1171.396929,200,6956.885432
1156.195953,200,6972.315119
1146.099578,200,7016.047032
1171.587664,200,7042.865596
1140.959264,200,7058.46833
726.171246,167,7088.718009
1130.981343,200,7115.029321
1151.349501,200,7144.770369
1176.139219,200,7158.492337
1171.290928,200,7160.108175
382.847383,200,7191.184209
1141.269889,200,7216.125448
1010.871478,200,7230.958207
980.574626,200,7276.957608
1166.206098,200,7290.88965
263.036781,169,7316.564581
1035.826157,200,7349.08248
1166.286302,200,7375.799306
586.438515,157,7390.755314
1156.170534,200,7435.618863
1040.8419,200,7449.092982
1100.989881,200,7476.909485
1141.30179,200,7493.202442
1060.895725,200,7494.680524
394.202681,200,7536.48882
1176.249935,200,7553.778435
1181.491256,200,7579.674248
1115.983151,200,7612.374009
1156.241208,200,7639.567499
1040.700254,200,7666.606974
1166.399124,200,7698.801498
231.805235,60,7711.104517
1166.440858,200,7727.591119
553.35563,144,7740.322896
1161.225179,200,7786.095224
1141.121389,200,7799.210177
1166.365422,200,7826.211107
339.496228,83,7841.131793
1186.348709,200,7842.861985
1146.125679,200,7844.475534
199.479817,183,7875.104254
1186.575218,200,7901.152752
1120.910152,200,7915.454233
1171.431712,200,7961.434581
1151.276283,200,7973.734631
748.126864,137,7985.541367
1020.868073,200,8032.500993
1186.47485,200,8059.42555
1176.361617,200,8073.383686
675.776828,156,8106.089986
1186.505827,200,8132.684452
1166.154789,200,8147.325457
1156.324154,200,8174.937177
1186.365613,200,8176.68648
1171.061156,200,8178.178502
110.255327,116,8209.356828
1141.096087,200,8234.645805
1181.606204,200,8248.924417
1186.311668,200,8295.74806
1111.109204,200,8308.326391
1186.561312,200,8335.054267
1156.349756,200,8381.405306
574.514043,158,8394.398562
1156.28864,200,8408.182251
1161.282862,200,8436.561001
1181.275532,200,8468.879808
1186.455589,200,8493.454353
1186.153557,200,8522.246621
1141.449535,200,8523.923187
1136.226993,200,8525.463965
316.736558,200,8557.197959
1171.461948,200,8580.635036
1146.143957,200,8596.036438
511.685112,172,8642.672867
1181.271752,200,8653.204365
1186.520479,200,8680.643971
1016.069787,200,8713.626769
1171.240382,200,8738.788752
1141.160675,200,8764.485402
1141.191952,200,8797.887017
1141.386508,200,8822.184067
1120.747484,200,8836.486898
1141.181867,200,8853.218592
1171.191191,200,8854.700497
402.781445,200,8898.54946
950.616389,200,8909.676811
1171.459026,200,8938.65135
1131.119128,200,8984.341038
1181.072479,200,8995.376071
1150.942072,200,9024.098976
1105.995748,200,9056.982566
535.150924,140,9070.538386
1035.893448,200,9094.154083
824.497863,170,9127.45322
1135.970974,200,9155.36874
1131.039671,200,9167.47991
1181.316861,200,9197.175903
1045.784754,200,9198.678988
81.911906,83,9216.726837
1035.782419,200,9245.134222
1156.344602,200,9268.373214
1106.102736,200,9302.45068
1146.482746,200,9330.642888
1136.390979,200,9341.634915
1126.050043,200,9387.334197
1166.36104,200,9403.118184
1181.28679,200,9425.003427
1181.457179,200,9472.170386
1126.089533,200,9487.279785
1166.238551,200,9509.80561
1020.829612,200,9526.83484
1171.277336,200,9528.422369
1181.335729,200,9529.912132
50.742144,49,9561.058311
1166.259763,200,9573.795382
1161.145706,200,9598.563979
440.186151,156,9613.507663
1131.300612,200,9661.003639
1166.414556,200,9670.313559
1116.00517,200,9698.244854
1146.437854,200,9732.245885
1151.354864,200,9756.037774
1071.140865,200,9770.663955
174.166971,47,9784.958477
1136.173367,200,9818.011141
1141.188138,200,9841.966649
1096.210592,200,9869.864256
1156.27247,200,9871.686236
1146.19503,200,9873.172656
392.507447,200,9905.174084
1090.73019,200,9927.849435
1106.20138,200,9955.053178
1086.121956,200,9987.785478
1101.301278,200,10013.147342
1176.438044,200,10024.858792
1131.053144,200,10072.160043
662.512527,132,10086.802812
1141.290472,200,10098.823865
1151.274564,200,10144.068141
1116.172713,200,10171.561959
158.007352,51,10171.940415
1156.435845,200,10195.534335
175.97788,49,10195.96483
1171.482634,200,10197.962617
1181.370597,200,10199.446127
362.663151,200,10247.986079
1111.247963,200,10268.904792
1176.230945,200,10285.40714
687.675811,142,10318.444653
1166.264052,200,10343.814464
857.487767,194,10355.556781
1136.126398,200,10403.26905
1181.494926,200,10419.844013
675.822835,130,10431.628795
1171.247041,200,10456.415677
1101.096956,200,10504.56039
1176.496801,200,10517.51804
1115.963024,200,10542.637366
1076.103509,200,10544.381287
1186.420118,200,10545.855553
62.062685,56,10563.686139
1030.903487,200,10591.397469
1155.907055,200,10615.031254
1186.322211,200,10647.657516
151.676098,39,10647.985409
805.558077,166,10678.246788
133.264347,57,106781156.25541141.06732,200,10702.1146.2991116.051533,200,107351156.18071115.974122,200,107651116.1973980.915487,200,10778.1106.2591091.142013,200,10820.1061.061056.117699,200,10849.079847
1005.932586,200,10860.84567
1181.573437,200,10875.592574
1176.346209,200,10877.083577
1066.074559,200,10924.282006
1166.112589,200,10946.171956
1116.386083,200,10961.260603
960.877262,200,11008.497411
1181.41872,200,11022.225582
1081.142344,200,11046.242172
1151.408353,200,11079.812421
1186.401247,200,11107.51023
1081.097751,200,11131.249019
1151.285907,200,11164.275591
1166.19328,200,11193.155107
1176.44528,200,11203.108368
1181.414699,200,11219.522561
1181.32761,200,11221.031006
387.93964,200,11266.164266
1096.043888,200,11280.982754
1181.339806,200,11304.188455
1100.666709,200,11337.948645
1166.231035,200,11366.45276
1126.243525,200,11377.1089
1171.4019,200,11422.218881
990.795303,200,11451.668794
1076.026964,200,11462.077094
1156.124953,200,11507.247683
1181.263712,200,11523.333924
1111.232593,200,11546.783717
1136.465316,200,11561.491061
1181.410869,200,11563.031497
261.220266,195,11596.434991
1181.446748,200,11623.080977
1156.375888,200,11637.210434
1181.352537,200,11683.45058
1186.319459,200,11696.857174
184.054207,52,11707.650676
1106.417252,200,11722.028909
1176.525706,200,11769.729999
1076.071446,200,11783.890223
155.622913,38,11794.677967
1146.35627,200,11825.847648
1186.463504,200,11855.931694
1176.226336,200,11869.376717
1181.487971,200,11893.911626
1126.077006,200,111176.393213,1136.267698,200,11896.94251
63.531031,68,11928.884915
1141.43054,200,11944.749075
1141.197962,200,11969.44226
1126.198981,200,12001.224169
1156.223049,200,12031.675014
1010.698101,200,12044.723181
1096.229653,200,12087.757203
1136.267452,200,12117.720851
1161.330691,200,12131.170687
970.908871,200,12155.324196
1045.792568,200,12188.715342
950.433917,200,12216.873981
1181.475399,200,12228.83692
1181.567811,200,11171.558974,21176.347995,200,12244.658194
402.613019,200,1353.085863,201186.631449,200,12303.638827
1025.965137,200,12317.655664
965.854458,200,11126.169143,21056.179633,200,12377.083042
1141.275834,200,12405.285041
1166.299667,200,12450.886862
1095.842539,200,12464.093628
1126.282661,200,12489.904974
1106.445891,200,12522.844953
1166.439149,200,12549.439616
1111.095847,200,12561.996676
1181.34795,200,12577.782364
1181.240636,200,12579.287967
75.097791,76,248.348772,1371146.348858,2001176.297428,2001105.982903,200840.354897,200,1191.523237,201151.255977,200,1141.364801,200,12711.760762
845.305174,200,12736.320024
1116.100726,200,12769.286712
1161.336932,200,12798.134555
144.630792,31181.406348,200,1181.208462,201151.490226,200,1151.269811,200,12855.313066
1166.46838,200,12884.290821
1146.37663,200,12898.258992
1161.397019,200,12926.776221
1166.229035,200,12928.255454
90.34366,82,12946.317186
153.309712,41,12960.685201
935.633635,200,12973.588336
1176.536242,200,12999.60538
1171.461105,200,13031.717703
1166.339124,200,13059.237647
1151.39913,200,13074.428787
1161.120071,200,13119.042894
1096.076448,200,13146.073787
1186.511706,200,13159.187638
1131.21363,200,13204.886796
1186.496151,200,13218.622546
1066.082704,200,13246.243251
1186.366375,200,13262.691227
1146.305434,200,13264.205049
1095.800572,200,13306.682512
1181.423688,200,13322.931062
608.023612,148,13335.063973
1096.291738,200,13380.669641
1136.184938,200,13407.825703
1045.975176,200,13421.406557
1076.101283,200,13466.798985
1161.17705,200,13479.67248
1186.649769,200,13507.105358
1181.558233,200,13539.81215
1166.346433,200,13566.555632
1111.360004,200,13593.389302
1191.413635,200,13609.541153
1171.488596,200,13611.072062
403.084352,200,13640.516281
1050.981852,200,13668.506759
1145.98676,200,13682.020123
1171.45369,200,13725.122616
1151.183653,200,13754.978216
1085.75076,200,13768.300247
1171.386236,200,13811.121738
1186.414039,200,13827.332133
1166.21833,200,13854.454382
1151.549507,200,13885.071682
1086.114448,200,13913.94006
157.58548,77,13926.482752
1156.317406,200,13941.607792
1140.949725,200,13943.237055
1186.224042,200,13944.713721
357.803414,200,13986.844291
995.768434,200,14003.115883
1166.404125,200,14029.307013
243.471294,78,14058.046389
1040.91251,200,14073.911271
1060.984854,200,14102.411034
573.434945,179,14133.681965
1171.381768,200,14161.590307
1176.62953,200,14177.02509
1141.216699,200,14204.147486
1121.144069,200,14233.427066
1181.472793,200,14264.155714
1181.493878,200,14277.018736
1171.564327,200,14293.013749
1146.352672,200,14294.507578
404.068894,200,14323.222501
1151.289891,200,14352.29508
1156.309665,200,14365.489183
958.508918,199,14408.117456
1065.915228,200,14437.210979
1131.158684,200,14451.065322
1186.441092,200,14493.897296
1166.305138,200,14510.131819
1091.058277,200,14536.610015
1141.341502,200,14566.077965
645.926148,167,14595.477209
1141.26755,200,14608.300965
1176.312187,200,14625.075884
1171.016161,200,14626.603448
388.125623,200,14669.055023
1181.31694,200,14684.189517
1126.317167,200,14711.07879
667.622956,158,14740.235327
1176.342699,200,14770.144403
1166.376325,200,14782.979533
1091.088924,200,14826.251434
1146.208857,200,14855.261923
1156.174948,200,14868.278406
1126.34158,200,14912.170406
1166.340127,200,14927.624556
985.81465,200,14954.850598
1161.552089,200,14971.526176
1166.326153,200,14973.113836
287.746794,200,15002.113159
985.778055,200,15029.997562
1061.12333,200,15056.382138
1106.335956,200,15087.412302
1181.143339,200,15115.44268
1111.062311,200,15129.676445
1121.391867,200,15172.490465
1166.448733,200,15189.27735
1156.484164,200,15214.410809
364.594158,104,15243.954826
1171.541996,200,15259.063158
1115.83406,200,15289.018136
1176.473916,200,15302.086673
1171.374828,200,15303.669
